Author
Suzanne Collins
J.K. Rowling
Harper Lee
Jane Austen
Stephenie Meyer
Markus Zusak
C.S. Lewis
George Orwell
J.R.R. Tolkien
Margaret Mitchell
John Green
Douglas Adams
Shel Silverstein
Emily Brontë
Dan Brown
Arthur Golden
Oscar Wilde
Lewis Carroll
Charlotte Brontë
Victor Hugo
Veronica Roth
Ray Bradbury
William Shakespeare
William Golding
Paulo Coelho
Fyodor Dostoyevsky
Stephen Chbosky
F. Scott Fitzgerald
Orson Scott Card
Cassandra Clare
Kathryn Stockett
L.M. Montgomery
E.B. White
Audrey Niffenegger
Antoine de Saint-Exupéry
John Steinbeck
J.K. Rowling
Bram Stoker
Aldous Huxley
Gabriel García Márquez
William Goldman
J.D. Salinger
Frances Hodgson Burnett
Khaled Hosseini
Rick Riordan
Madeleine L'Engle
George R.R. Martin
Mark Twain
Alice Sebold
Maurice Sendak
S.E. Hinton
Dr. Seuss
Homer
Yann Martel
Charles Dickens
Sara Gruen
Vladimir Nabokov
Kurt Vonnegut Jr.
Mary Wollstonecraft Shelley
Khaled Hosseini
Margaret Atwood
Lois Lowry
Joseph Heller
Frank Herbert
Ken Follett
Stephen King
Arthur Conan Doyle
Richard  Adams
Charles Dickens
Ken Kesey
Sylvia Plath
Leo Tolstoy
Jodi Picoult
Louisa May Alcott
Diana Gabaldon
Stieg Larsson
Roald Dahl
J.K. Rowling
J.R.R. Tolkien
Daphne du Maurier
Alice Walker
Betty  Smith
Cormac McCarthy
George Orwell
Fyodor Dostoyevsky
Frank McCourt
Richelle Mead
Barbara Kingsolver
Hermann Hesse
Philip Pullman
Miguel de Cervantes Saavedra
Ayn Rand
Ernest Hemingway
J.K. Rowling
Nicholas Sparks
Anthony Burgess
A.A. Milne
Edgar Allan Poe
John Irving
Anne Rice
Herman Melville
Anita Diamant
Sue Monk Kidd
J.K. Rowling
Cassandra Clare
Agatha Christie
Jeffrey Eugenides
J.K. Rowling
Albert Camus
Mikhail Bulgakov
Patrick Rothfuss
Stephen King
Mark Twain
Christopher Paolini
Roald Dahl
Jack Kerouac
Daniel Keyes
Franz Kafka
John Green
Carlos Ruiz Zafón
Mark Haddon
Eric Carle
Mitch Albom
Milan Kundera
Umberto Eco
Wilson Rawls
Nathaniel Hawthorne
Mario Puzo
J.K. Rowling
Truman Capote
Chuck Palahniuk
Mitch Albom
Becca Fitzpatrick
Larry McMurtry
Dr. Seuss
Neil Gaiman
Louis Sachar
Patrick Süskind
Alexandre Dumas
C.S. Lewis
Stephen King
Alan Moore
Laura Ingalls Wilder
Rick Riordan
Dante Alighieri
J.M. Barrie
Erich Maria Remarque
Reduced Shakespeare Company
Gabriel García Márquez
Richelle Mead
Nicholas Sparks
Colleen McCullough
Veronica Roth
J.R.R. Tolkien
Dr. Seuss
Douglas Adams
Oscar Wilde
Elizabeth Gilbert
Ian McEwan
Zora Neale Hurston
Alexandre Dumas
L. Frank Baum
Richelle Mead
Margaret Wise Brown
Dr. Seuss
Terry Pratchett
Richelle Mead
Thomas Hardy
Pearl S. Buck
Joseph Conrad
Kahlil Gibran
William Shakespeare
Rick Riordan
Marion Zimmer Bradley
Cassandra Clare
Amy Tan
Rick Riordan
Jane Carruth
Rick Riordan
Jack London
Richard Bach
Gustave Flaubert
Norton Juster
Katherine Paterson
Dr. Seuss
Stieg Larsson
Suzanne Collins
James Dashner
Charles Dickens
James Joyce
Anthony Burgess
Michael Ende
Robert Louis Stevenson
Jean M. Auel
E.L. James
Geoffrey Chaucer
John Irving
George R.R. Martin
Ernest Hemingway
Charles Dickens
Jay Asher
Gregory Maguire
James Clavell
Jonathan Safran Foer
Philippa Gregory
Frances Hodgson Burnett
Thomas Keneally
Philip Pullman
Agatha Christie
John Boyne
Lauren Kate
Richelle Mead
Michael Crichton
Erin Morgenstern
Ki Longfellow
J.R.R. Tolkien
John Kennedy Toole
Toni Morrison
Ernest Hemingway
Franz Kafka
Margery Williams Bianco
Richelle Mead
Kiera Cass
Rick Riordan
Homer
Kurt Vonnegut Jr.
Arthur  Miller
Cassandra Clare
Sarah J. Maas
Suzanne Collins
Tracy Chevalier
C.S. Lewis
Corrie ten Boom
Arundhati Roy
Kenneth Grahame
George Orwell
Shel Silverstein
Maggie Stiefvater
Thomas  Harris
Scott Westerfeld
Wally Lamb
Viktor E. Frankl
Cassandra Clare
John Grogan
Haruki Murakami
Gail Carson Levine
Gaston Leroux
William Faulkner
William Paul Young
George R.R. Martin
José Saramago
Stephen King
P.C. Cast
Hunter S. Thompson
Marissa Meyer
Mary Ann Shaffer
Ernest Hemingway
Bill Watterson
Isabel Allende
Alex Haley
Scott O'Dell
Robert A. Heinlein
Stephen King
Diana Wynne Jones
Stephenie Meyer
Janet Fitch
Stieg Larsson
Jamie McGuire
Ki Longfellow
Lauren Oliver
William Shakespeare
Laurie Halse Anderson
John Green
Fyodor Dostoyevsky
Anne Rice
T.H. White
Wally Lamb
Donna Tartt
William Shakespeare
Neil Gaiman
Jon Krakauer
Christopher Moore
Harriet Beecher Stowe
Cornelia Funke
Anne Frank
Elizabeth Kostova
Roald Dahl
Ralph Ellison
Arthur Conan Doyle
Voltaire
Kristin Cashore
James Herriot
Walt Whitman
John Milton
Gillian Flynn
Diane Setterfield
Stephen King
John Irving
Tim O'Brien
H.G. Wells
Isaac Asimov
William Shakespeare
Haruki Murakami
Johanna Spyri
Judy Blume
Haruki Murakami
Jostein Gaarder
Henry David Thoreau
Tim Butcher
Cassandra Clare
Patrick Rothfuss
سید مرتضی مصطفوی
Kate Chopin
William Styron
Rainbow Rowell
Pat Conroy
Fannie Flagg
Charlaine Harris
Kazuo Ishiguro
Rick Riordan
E.L. James
Jon Stone
Chinua Achebe
George Eliot
Helen Fielding
J.D. Salinger
Virginia Woolf
C.S. Lewis
Ernest Cline
Neil Gaiman
Bryce Courtenay
John Grisham
Stephen King
Lois Lowry
Bill Bryson
Philip K. Dick
Rainbow Rowell
Sarah J. Maas
Anna Sewell
Suzanne Collins
James Joyce
Garth Stein
Veronica Roth
Jonathan Swift
Ann Patchett
Bret Easton Ellis
Gayle Forman
Jojo Moyes
Arthur Conan Doyle
Marie Lu
Robert Munsch
Rick Riordan
Alan Moore
J.R.R. Tolkien
Jane Austen
Charles Frazier
Roald Dahl
Neil Gaiman
Anonymous
Jack London
Brandon Sanderson
E.L. James
Kami Garcia
Christopher Paolini
Unknown
Hermann Hesse
Natalie Babbitt
Beatrice Sparks
Edgar Allan Poe
J.R. Ward
John Knowles
R.J. Palacio
Robert Jordan
William Faulkner
أحمد جمال الدين رمضان
Brandon Sanderson
Art Spiegelman
Jane Austen
Michael Chabon
Dave Pelzer
Christopher Paolini
Jerry Spinelli
Lao Tzu
Nicholas Sparks
أحمد جمال الدين رمضان
Ray Bradbury
Salman Rushdie
Jennifer L. Armentrout
Becca Fitzpatrick
John Grisham
Robert M. Pirsig
Michael Ondaatje
Stephen King
Nicholas Sparks
Willa Cather
David Mitchell
Daniel Defoe
Boris Pasternak
Tahereh Mafi
Andy Weir
Dante Alighieri
John Steinbeck
Sergio Cobo
Laura Esquivel
Victor Hugo
Philip Pullman
Truman Capote
Kurt Vonnegut Jr.
Diana Gabaldon
Emma Donoghue
Roald Dahl
J.K. Rowling
Charles Darwin
Alyson Noel
Rohinton Mistry
Laini Taylor
Cassandra Clare
Philip Pullman
Arthur  Miller
Albert Camus
Niccolò Machiavelli
Tennessee Williams
John Berendt
Lisa See
Johann Wolfgang von Goethe
Stephanie Perkins
David Foster Wallace
James Patterson
Stephen King
Robert Louis Stevenson
Kazuo Ishiguro
George R.R. Martin
Ally Condie
V.C. Andrews
Annie Proulx
Emmuska Orczy
Ransom Riggs
William Shakespeare
Chaim Potok
Colleen Hoover
Leigh Bardugo
Susanna Clarke
Laura Hillenbrand
Nick Hornby
Ki Longfellow
J.K. Rowling
Cormac McCarthy
Eoin Colfer
