Title,Author,Average Ratings,Total Ratings
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins, 4.33 avg rating,"6,193,957 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling, 4.50 avg rating,"2,415,024 ratings"
To Kill a Mockingbird,Harper Lee, 4.28 avg rating,"4,350,156 ratings"
Pride and Prejudice,Jane Austen, 4.26 avg rating,"2,887,924 ratings"
"Twilight (Twilight, #1)",Stephenie Meyer, 3.59 avg rating,"4,817,218 ratings"
The Book Thief,Markus Zusak, 4.37 avg rating,"1,768,000 ratings"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis, 4.26 avg rating,"498,926 ratings"
Animal Farm,George Orwell, 3.94 avg rating,"2,632,759 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien, 4.60 avg rating,"107,843 ratings"
Gone with the Wind,Margaret Mitchell, 4.30 avg rating,"1,054,612 ratings"
The Fault in Our Stars,John Green, 4.21 avg rating,"3,417,811 ratings"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams, 4.22 avg rating,"1,380,798 ratings"
The Giving Tree,Shel Silverstein, 4.38 avg rating,"878,876 ratings"
Wuthering Heights,Emily Brontë, 3.86 avg rating,"1,300,944 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown, 3.85 avg rating,"1,877,742 ratings"
Memoirs of a Geisha,Arthur Golden, 4.12 avg rating,"1,681,341 ratings"
The Picture of Dorian Gray,Oscar Wilde, 4.08 avg rating,"925,977 ratings"
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll, 4.07 avg rating,"444,750 ratings"
Jane Eyre,Charlotte Brontë, 4.12 avg rating,"1,577,560 ratings"
Les Misérables,Victor Hugo, 4.17 avg rating,"649,653 ratings"
"Divergent (Divergent, #1)",Veronica Roth, 4.20 avg rating,"2,814,763 ratings"
Fahrenheit 451,Ray Bradbury, 3.99 avg rating,"1,610,409 ratings"
Romeo and Juliet,William Shakespeare, 3.75 avg rating,"2,006,453 ratings"
Lord of the Flies,William Golding, 3.68 avg rating,"2,199,814 ratings"
The Alchemist,Paulo Coelho, 3.87 avg rating,"2,010,859 ratings"
Crime and Punishment,Fyodor Dostoyevsky, 4.22 avg rating,"600,827 ratings"
The Perks of Being a Wallflower,Stephen Chbosky, 4.20 avg rating,"1,213,306 ratings"
The Great Gatsby,F. Scott Fitzgerald, 3.92 avg rating,"3,655,547 ratings"
"Ender's Game (Ender's Saga, #1)",Orson Scott Card, 4.30 avg rating,"1,097,634 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare, 4.10 avg rating,"1,569,483 ratings"
The Help,Kathryn Stockett, 4.47 avg rating,"2,094,904 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery, 4.26 avg rating,"698,887 ratings"
Charlotte's Web,E.B. White, 4.17 avg rating,"1,369,839 ratings"
The Time Traveler's Wife,Audrey Niffenegger, 3.97 avg rating,"1,541,442 ratings"
The Little Prince,Antoine de Saint-Exupéry, 4.31 avg rating,"1,287,273 ratings"
Of Mice and Men,John Steinbeck, 3.87 avg rating,"1,891,273 ratings"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling, 4.47 avg rating,"6,765,064 ratings"
Dracula,Bram Stoker,really liked it 4.00 avg rating,"903,017 ratings"
Brave New World,Aldous Huxley, 3.99 avg rating,"1,391,469 ratings"
One Hundred Years of Solitude,Gabriel García Márquez, 4.08 avg rating,"727,526 ratings"
The Princess Bride,William Goldman, 4.26 avg rating,"759,896 ratings"
The Catcher in the Rye,J.D. Salinger, 3.81 avg rating,"2,659,848 ratings"
The Secret Garden,Frances Hodgson Burnett, 4.14 avg rating,"860,963 ratings"
A Thousand Splendid Suns,Khaled Hosseini, 4.37 avg rating,"1,112,043 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan, 4.25 avg rating,"1,909,346 ratings"
